Batter,Runs
V Kohli,8014
S Dhawan,6769
Rg Sharma,6630
Da Warner,6567
Sk Raina,5536
Ms Dhoni,5243
Ab De Villiers,5181
Ch Gayle,4997
Rv Uthappa,4954
Kd Karthik,4843
